S/N,Date,Branch,Pizza Sold,Price,Quantity,Time,Time Range,,
98,12/14/2015,Surulere,Hot Pepperoni Feast,4000,2,8:03:05 AM,Before 9:00am,,
99,12/5/2015,Gbagada,Hot Pepperoni Feast,4000,4,8:03:05 AM,Before 9:00am,,
100,12/15/2015,Ikoyi,BBQ Philly Steak,4000,4,8:03:09 AM,Before 9:00am,,
101,12/14/2015,Lekki,Veggie Supreme,3000,3,8:03:10 AM,Before 9:00am,,
102,12/4/2015,Surulere,Chicken Suya,4000,5,8:03:10 AM,Before 9:00am,,
103,12/7/2015,Ikoyi,Pepperoni Suya,3000,5,8:03:15 AM,Before 9:00am,,
104,12/5/2015,Surulere,Chicken Bali,2000,4,8:03:17 AM,Before 9:00am,,
105,12/9/2015,Gbagada,Extravaganza,2000,4,8:03:18 AM,Before 9:00am,,
106,12/14/2015,Ibadan,Veggie Supreme,3000,5,8:03:22 AM,Before 9:00am,,
107,12/11/2015,Gbagada,Pepperoni Feast,4000,3,8:03:25 AM,Before 9:00am,,
108,12/8/2015,Gbagada,Chicken Suya,4000,5,8:03:26 AM,Before 9:00am,,
109,12/12/2015,Surulere,Italiano,3000,1,8:03:27 AM,Before 9:00am,,
110,12/5/2015,Ikoyi,Margarita,4000,4,8:03:28 AM,Before 9:00am,,
111,12/7/2015,Surulere,Chicken Suya,4000,5,8:03:29 AM,Before 9:00am,,
112,12/9/2015,Ibadan,Meatzaa,2000,4,8:03:29 AM,Before 9:00am,,
113,12/3/2015,Lekki,Veggie Supreme,3000,2,8:03:31 AM,Before 9:00am,,
114,12/5/2015,Ikoyi,Chicken Bali,2000,3,8:03:32 AM,Before 9:00am,,
115,12/9/2015,Gbagada,Italiano,3000,3,8:03:32 AM,Before 9:00am,,
116,12/6/2015,Lekki,Hot Pepperoni Feast,4000,4,8:03:32 AM,Before 9:00am,,
117,12/10/2015,Surulere,Pepperoni Suya,3000,4,8:03:33 AM,Before 9:00am,,
118,12/3/2015,Ibadan,Beef Suya,3000,3,8:03:36 AM,Before 9:00am,,
119,12/7/2015,Lekki,Veggie Supreme,3000,5,8:03:39 AM,Before 9:00am,,
120,12/13/2015,Surulere,Italiano,3000,4,8:03:44 AM,Before 9:00am,,
121,12/7/2015,Ibadan,Hot Pepperoni Feast,4000,2,8:03:44 AM,Before 9:00am,,
122,12/10/2015,Gbagada,Chicken Suya,4000,2,8:03:52 AM,Before 9:00am,,
123,12/12/2015,Lekki,Veggie Supreme,3000,4,8:03:53 AM,Before 9:00am,,
124,12/3/2015,Ibadan,Meatzaa,2000,4,8:03:54 AM,Before 9:00am,,
125,12/3/2015,Ibadan,Hot Veggie,4000,5,8:03:54 AM,Before 9:00am,,
126,12/13/2015,Ikoyi,BBQ Philly Steak,4000,4,8:03:54 AM,Before 9:00am,,
127,12/11/2015,Ikoyi,Beef Suya,3000,1,8:03:57 AM,Before 9:00am,,
128,12/8/2015,Lekki,Veggie Supreme,3000,3,8:04:00 AM,Before 9:00am,,
129,12/12/2015,Lekki,Hot Veggie,4000,2,8:04:01 AM,Before 9:00am,,
130,12/10/2015,Gbagada,Margarita,4000,4,8:04:04 AM,Before 9:00am,,
131,12/10/2015,Ibadan,Chicken Legend,2000,1,8:04:07 AM,Before 9:00am,,
132,12/6/2015,Gbagada,Veggie Supreme,3000,1,8:04:13 AM,Before 9:00am,,
133,12/11/2015,Surulere,Hot Veggie,4000,5,8:04:14 AM,Before 9:00am,,
134,12/7/2015,Lekki,Pepperoni Suya,3000,4,8:04:18 AM,Before 9:00am,,
135,12/15/2015,Gbagada,BBQ Philly Steak,4000,4,8:04:18 AM,Before 9:00am,,
136,12/11/2015,Gbagada,Meatzaa,2000,5,8:04:19 AM,Before 9:00am,,
137,12/3/2015,Ibadan,Beef Suya,3000,2,8:04:20 AM,Before 9:00am,,
138,12/6/2015,Ibadan,Pepperoni Feast,4000,5,8:04:21 AM,Before 9:00am,,
139,12/5/2015,Ibadan,BBQ Philly Steak,4000,2,8:04:21 AM,Before 9:00am,,
140,12/4/2015,Gbagada,Margarita,4000,1,8:04:21 AM,Before 9:00am,,
141,12/15/2015,Lekki,Chicken Suya,4000,2,8:04:24 AM,Before 9:00am,,
142,12/13/2015,Lekki,Chicken Bali,2000,2,8:04:27 AM,Before 9:00am,,
143,12/3/2015,Lekki,Margarita,4000,3,8:04:28 AM,Before 9:00am,,
144,12/15/2015,Ikoyi,Pepperoni Feast,4000,5,8:04:35 AM,Before 9:00am,,
145,12/11/2015,Ikoyi,Pepperoni Feast,4000,3,8:04:35 AM,Before 9:00am,,
146,12/13/2015,Ikoyi,Beef Suya,3000,1,8:04:40 AM,Before 9:00am,,
147,12/12/2015,Ibadan,Hot Pepperoni Feast,4000,5,8:04:41 AM,Before 9:00am,,
148,12/8/2015,Ikoyi,Pepperoni Suya,3000,1,8:04:42 AM,Before 9:00am,,
149,12/15/2015,Lekki,Chicken Suya,4000,3,8:04:43 AM,Before 9:00am,,
150,12/5/2015,Surulere,Hot Pepperoni Feast,4000,2,8:04:44 AM,Before 9:00am,,
151,12/14/2015,Ibadan,Chicken Legend,2000,5,8:04:45 AM,Before 9:00am,,
152,12/4/2015,Surulere,Extravaganza,2000,5,8:04:50 AM,Before 9:00am,,
153,12/14/2015,Gbagada,Beef Suya,3000,2,8:04:50 AM,Before 9:00am,,
154,12/10/2015,Lekki,Extravaganza,2000,4,8:04:53 AM,Before 9:00am,,
155,12/11/2015,Lekki,Pepperoni Suya,3000,2,8:04:55 AM,Before 9:00am,,
156,12/9/2015,Ibadan,BBQ Philly Steak,4000,3,8:04:56 AM,Before 9:00am,,
157,12/6/2015,Gbagada,Italiano,3000,1,8:04:56 AM,Before 9:00am,,
158,12/15/2015,Ikoyi,Extravaganza,2000,1,8:05:00 AM,Before 9:00am,,
159,12/6/2015,Surulere,BBQ Philly Steak,4000,2,8:05:03 AM,Before 9:00am,,
160,12/13/2015,Gbagada,Italiano,3000,1,8:05:06 AM,Before 9:00am,,
161,12/13/2015,Surulere,Chicken Legend,2000,2,8:05:10 AM,Before 9:00am,,
162,12/7/2015,Ikoyi,Italiano,3000,4,8:05:11 AM,Before 9:00am,,
163,12/12/2015,Ibadan,Hot Veggie,4000,4,8:05:11 AM,Before 9:00am,,
164,12/6/2015,Ibadan,Chicken Feast,2000,3,8:05:11 AM,Before 9:00am,,
165,12/9/2015,Ikoyi,Meatzaa,2000,2,8:05:12 AM,Before 9:00am,,
166,12/15/2015,Ikoyi,Margarita,4000,5,8:05:12 AM,Before 9:00am,,
167,12/5/2015,Lekki,Hot Pepperoni Feast,4000,5,8:05:14 AM,Before 9:00am,,
168,12/12/2015,Ibadan,BBQ Chicken,4000,3,8:05:23 AM,Before 9:00am,,
169,12/7/2015,Lekki,Hot Pepperoni Feast,4000,5,8:05:23 AM,Before 9:00am,,
170,12/3/2015,Ikoyi,Chicken Legend,2000,4,8:05:23 AM,Before 9:00am,,
171,12/13/2015,Surulere,Chicken Bali,2000,3,8:05:25 AM,Before 9:00am,,
172,12/7/2015,Surulere,Chicken Suya,4000,5,8:05:25 AM,Before 9:00am,,
173,12/10/2015,Surulere,Hot Pepperoni Feast,4000,4,8:05:25 AM,Before 9:00am,,
174,12/14/2015,Surulere,Hot Pepperoni Feast,4000,2,8:05:28 AM,Before 9:00am,,
175,12/14/2015,Gbagada,Chicken Feast,2000,1,8:05:32 AM,Before 9:00am,,
176,12/12/2015,Lekki,BBQ Chicken,4000,2,8:05:34 AM,Before 9:00am,,
177,12/6/2015,Ikoyi,Extravaganza,2000,1,8:05:34 AM,Before 9:00am,,
178,12/5/2015,Ibadan,Meatzaa,2000,2,8:05:34 AM,Before 9:00am,,
179,12/15/2015,Ikoyi,Pepperoni Feast,4000,3,8:05:37 AM,Before 9:00am,,
180,12/9/2015,Gbagada,Hot Pepperoni Feast,4000,1,8:05:38 AM,Before 9:00am,,
181,12/13/2015,Ibadan,BBQ Chicken,4000,3,8:05:39 AM,Before 9:00am,,
182,12/12/2015,Ibadan,BBQ Chicken,4000,4,8:05:40 AM,Before 9:00am,,
183,12/11/2015,Ikoyi,Chicken Feast,2000,3,8:05:41 AM,Before 9:00am,,
184,12/4/2015,Surulere,Beef Suya,3000,1,8:05:41 AM,Before 9:00am,,
185,12/10/2015,Surulere,Extravaganza,2000,1,8:05:43 AM,Before 9:00am,,
186,12/6/2015,Surulere,Pepperoni Feast,4000,2,8:05:44 AM,Before 9:00am,,
187,12/14/2015,Gbagada,Beef Suya,3000,4,8:05:46 AM,Before 9:00am,,
188,12/11/2015,Surulere,Veggie Supreme,3000,3,8:05:47 AM,Before 9:00am,,
189,12/10/2015,Gbagada,Meatzaa,2000,5,8:05:51 AM,Before 9:00am,,
190,12/6/2015,Gbagada,Chicken Bali,2000,3,8:05:53 AM,Before 9:00am,,
191,12/15/2015,Gbagada,Pepperoni Suya,3000,1,8:05:53 AM,Before 9:00am,,
192,12/15/2015,Ikoyi,Pepperoni Suya,3000,5,8:05:55 AM,Before 9:00am,,
193,12/3/2015,Ikoyi,Veggie Supreme,3000,3,8:05:55 AM,Before 9:00am,,
194,12/12/2015,Gbagada,BBQ Philly Steak,4000,3,8:05:56 AM,Before 9:00am,,
195,12/3/2015,Gbagada,Margarita,4000,4,8:06:00 AM,Before 9:00am,,
196,12/13/2015,Lekki,BBQ Chicken,4000,4,8:06:01 AM,Before 9:00am,,
197,12/10/2015,Lekki,Beef Suya,3000,1,8:06:01 AM,Before 9:00am,,
198,12/7/2015,Ibadan,BBQ Chicken,4000,1,8:06:03 AM,Before 9:00am,,
199,12/12/2015,Ikoyi,Beef Suya,3000,4,8:06:07 AM,Before 9:00am,,
200,12/8/2015,Gbagada,Pepperoni Feast,4000,3,8:06:08 AM,Before 9:00am,,
201,12/7/2015,Lekki,Hot Pepperoni Feast,4000,2,8:06:10 AM,Before 9:00am,,
202,12/14/2015,Surulere,Hot Pepperoni Feast,4000,4,8:06:10 AM,Before 9:00am,,
203,12/5/2015,Gbagada,Pepperoni Feast,4000,3,8:06:12 AM,Before 9:00am,,
204,12/14/2015,Lekki,Chicken Bali,2000,5,8:06:22 AM,Before 9:00am,,
205,12/9/2015,Gbagada,BBQ Chicken,4000,5,8:06:22 AM,Before 9:00am,,
206,12/10/2015,Ikoyi,Chicken Legend,2000,2,8:06:28 AM,Before 9:00am,,
207,12/7/2015,Ibadan,Hot Veggie,4000,5,8:06:30 AM,Before 9:00am,,
208,12/10/2015,Ibadan,BBQ Philly Steak,4000,4,8:06:32 AM,Before 9:00am,,
209,12/12/2015,Ibadan,Margarita,4000,4,8:06:33 AM,Before 9:00am,,
210,12/3/2015,Ibadan,Meatzaa,2000,1,8:06:33 AM,Before 9:00am,,
211,12/10/2015,Gbagada,Extravaganza,2000,5,8:06:37 AM,Before 9:00am,,
212,12/6/2015,Gbagada,Meatzaa,2000,4,8:06:37 AM,Before 9:00am,,
213,12/9/2015,Gbagada,BBQ Chicken,4000,2,8:06:40 AM,Before 9:00am,,
214,12/3/2015,Gbagada,Veggie Supreme,3000,3,8:06:45 AM,Before 9:00am,,
215,12/11/2015,Ikoyi,BBQ Chicken,4000,5,8:06:46 AM,Before 9:00am,,
216,12/8/2015,Ikoyi,BBQ Philly Steak,4000,2,8:06:46 AM,Before 9:00am,,
217,12/14/2015,Ikoyi,Margarita,4000,1,8:06:50 AM,Before 9:00am,,
218,12/11/2015,Ibadan,Hot Veggie,4000,5,8:06:50 AM,Before 9:00am,,
219,12/8/2015,Gbagada,Chicken Legend,2000,5,8:06:51 AM,Before 9:00am,,
220,12/10/2015,Ikoyi,Hot Veggie,4000,3,8:06:53 AM,Before 9:00am,,
221,12/15/2015,Ikoyi,Chicken Legend,2000,5,8:06:54 AM,Before 9:00am,,
222,12/13/2015,Surulere,Veggie Supreme,3000,4,8:06:55 AM,Before 9:00am,,
223,12/10/2015,Ikoyi,Pepperoni Suya,3000,3,8:06:57 AM,Before 9:00am,,
224,12/13/2015,Surulere,Meatzaa,2000,4,8:07:00 AM,Before 9:00am,,
225,12/3/2015,Gbagada,Chicken Bali,2000,2,8:07:03 AM,Before 9:00am,,
226,12/12/2015,Ibadan,Veggie Supreme,3000,3,8:07:03 AM,Before 9:00am,,
227,12/7/2015,Lekki,Hot Pepperoni Feast,4000,5,8:07:04 AM,Before 9:00am,,
228,12/10/2015,Lekki,BBQ Philly Steak,4000,5,8:07:04 AM,Before 9:00am,,
229,12/3/2015,Gbagada,Margarita,4000,2,8:07:05 AM,Before 9:00am,,
230,12/10/2015,Ikoyi,Chicken Legend,2000,3,8:07:05 AM,Before 9:00am,,
231,12/6/2015,Ibadan,BBQ Chicken,4000,3,8:07:07 AM,Before 9:00am,,
232,12/5/2015,Lekki,Hot Veggie,4000,1,8:07:07 AM,Before 9:00am,,
233,12/6/2015,Gbagada,Hot Veggie,4000,3,8:07:16 AM,Before 9:00am,,
234,12/6/2015,Lekki,Chicken Suya,4000,1,8:07:16 AM,Before 9:00am,,
235,12/4/2015,Surulere,Pepperoni Feast,4000,3,8:07:21 AM,Before 9:00am,,
236,12/13/2015,Ikoyi,Hot Pepperoni Feast,4000,3,8:07:21 AM,Before 9:00am,,
237,12/8/2015,Gbagada,Extravaganza,2000,4,8:07:22 AM,Before 9:00am,,
238,12/9/2015,Ikoyi,Meatzaa,2000,1,8:07:23 AM,Before 9:00am,,
239,12/6/2015,Gbagada,Veggie Supreme,3000,4,8:07:23 AM,Before 9:00am,,
240,12/15/2015,Ibadan,Hot Pepperoni Feast,4000,4,8:07:25 AM,Before 9:00am,,
241,12/12/2015,Ikoyi,Extravaganza,2000,1,8:07:26 AM,Before 9:00am,,
242,12/8/2015,Ikoyi,BBQ Chicken,4000,5,8:07:28 AM,Before 9:00am,,
243,12/5/2015,Gbagada,Extravaganza,2000,3,8:07:30 AM,Before 9:00am,,
244,12/9/2015,Gbagada,Meatzaa,2000,1,8:07:42 AM,Before 9:00am,,
245,12/3/2015,Surulere,Hot Pepperoni Feast,4000,3,8:07:42 AM,Before 9:00am,,
246,12/9/2015,Lekki,Beef Suya,3000,5,8:07:43 AM,Before 9:00am,,
247,12/10/2015,Surulere,Margarita,4000,3,8:07:46 AM,Before 9:00am,,
248,12/7/2015,Gbagada,Hot Pepperoni Feast,4000,1,8:07:49 AM,Before 9:00am,,
249,12/8/2015,Ikoyi,Chicken Bali,2000,4,8:07:49 AM,Before 9:00am,,
250,12/7/2015,Ikoyi,Meatzaa,2000,2,8:07:50 AM,Before 9:00am,,
251,12/8/2015,Ikoyi,BBQ Philly Steak,4000,2,8:07:50 AM,Before 9:00am,,
252,12/5/2015,Lekki,Pepperoni Feast,4000,2,8:07:56 AM,Before 9:00am,,
253,12/11/2015,Gbagada,Chicken Feast,2000,5,8:07:56 AM,Before 9:00am,,
254,12/3/2015,Ibadan,Veggie Supreme,3000,5,8:07:59 AM,Before 9:00am,,
255,12/4/2015,Ikoyi,Pepperoni Feast,4000,4,8:08:01 AM,Before 9:00am,,
256,12/5/2015,Lekki,Extravaganza,2000,1,8:08:03 AM,Before 9:00am,,
257,12/7/2015,Lekki,Chicken Bali,2000,5,8:08:04 AM,Before 9:00am,,
258,12/13/2015,Lekki,Meatzaa,2000,3,8:08:04 AM,Before 9:00am,,
259,12/4/2015,Ibadan,Pepperoni Feast,4000,4,8:08:11 AM,Before 9:00am,,
260,12/14/2015,Ibadan,Veggie Supreme,3000,1,8:08:12 AM,Before 9:00am,,
261,12/9/2015,Gbagada,Hot Veggie,4000,1,8:08:17 AM,Before 9:00am,,
262,12/6/2015,Gbagada,Italiano,3000,4,8:08:25 AM,Before 9:00am,,
263,12/5/2015,Lekki,Italiano,3000,3,8:08:25 AM,Before 9:00am,,
264,12/15/2015,Gbagada,Chicken Legend,2000,3,8:08:27 AM,Before 9:00am,,
265,12/15/2015,Lekki,Meatzaa,2000,4,8:08:29 AM,Before 9:00am,,
266,12/14/2015,Ikoyi,BBQ Chicken,4000,1,8:08:31 AM,Before 9:00am,,
267,12/7/2015,Ikoyi,BBQ Philly Steak,4000,1,8:08:32 AM,Before 9:00am,,
268,12/6/2015,Surulere,Chicken Suya,4000,2,8:08:33 AM,Before 9:00am,,
269,12/4/2015,Surulere,Veggie Supreme,3000,4,8:08:34 AM,Before 9:00am,,
270,12/8/2015,Lekki,Chicken Bali,2000,1,8:08:35 AM,Before 9:00am,,
271,12/9/2015,Ikoyi,Chicken Suya,4000,4,8:08:39 AM,Before 9:00am,,
272,12/6/2015,Surulere,Chicken Legend,2000,5,8:08:40 AM,Before 9:00am,,
273,12/9/2015,Lekki,Pepperoni Suya,3000,2,8:08:40 AM,Before 9:00am,,
274,12/5/2015,Ibadan,Hot Veggie,4000,2,8:08:42 AM,Before 9:00am,,
275,12/13/2015,Surulere,BBQ Chicken,4000,5,8:08:45 AM,Before 9:00am,,
276,12/5/2015,Ibadan,BBQ Chicken,4000,3,8:08:45 AM,Before 9:00am,,
277,12/13/2015,Ikoyi,Meatzaa,2000,1,8:08:45 AM,Before 9:00am,,
278,12/12/2015,Ibadan,Chicken Feast,2000,2,8:08:47 AM,Before 9:00am,,
279,12/14/2015,Ikoyi,Beef Suya,3000,5,8:08:50 AM,Before 9:00am,,
280,12/4/2015,Surulere,Hot Veggie,4000,2,8:08:53 AM,Before 9:00am,,
281,12/13/2015,Lekki,Extravaganza,2000,5,8:08:53 AM,Before 9:00am,,
282,12/12/2015,Ibadan,Pepperoni Feast,4000,4,8:08:57 AM,Before 9:00am,,
283,12/7/2015,Ibadan,Pepperoni Suya,3000,2,8:09:00 AM,Before 9:00am,,
284,12/15/2015,Gbagada,Pepperoni Feast,4000,1,8:09:00 AM,Before 9:00am,,
285,12/5/2015,Surulere,Veggie Supreme,3000,2,8:09:01 AM,Before 9:00am,,
286,12/3/2015,Gbagada,Chicken Suya,4000,3,8:09:02 AM,Before 9:00am,,
287,12/5/2015,Ikoyi,Hot Pepperoni Feast,4000,3,8:09:02 AM,Before 9:00am,,
288,12/11/2015,Gbagada,Chicken Suya,4000,4,8:09:03 AM,Before 9:00am,,
289,12/6/2015,Ikoyi,Italiano,3000,4,8:09:05 AM,Before 9:00am,,
290,12/6/2015,Lekki,Hot Veggie,4000,2,8:09:05 AM,Before 9:00am,,
291,12/12/2015,Ikoyi,Chicken Legend,2000,5,8:09:08 AM,Before 9:00am,,
292,12/4/2015,Ikoyi,Extravaganza,2000,3,8:09:08 AM,Before 9:00am,,
293,12/9/2015,Ibadan,Pepperoni Suya,3000,1,8:09:10 AM,Before 9:00am,,
